Style2,Width2,Size,Qty On Hand,Expect Date,Qty On PO for Size,Expt PO PO Num
120828F,M,100,100,,0,
120828F,M,105,100,,0,
120828F,M,110,100,,0,
120828F,M,115,100,,0,
120828F,M,120,100,,0,
120828F,M,130,100,,0,
120831F,M,030,100,,0,
120831F,M,035,100,,0,
120831F,M,040,100,,0,
120831F,M,045,100,,0,
120831F,M,050,100,,0,
120831F,M,055,100,,0,
120831F,M,060,100,,0,
120831F,M,065,100,,0,
120831F,M,070,100,,0,
120831F,M,075,100,,0,
120831F,M,080,100,,0,
120831F,M,085,100,,0,
120831F,M,090,100,,0,
120831F,M,095,100,,0,
120831F,M,100,100,,0,
120831F,M,105,100,,0,
120831F,M,110,100,,0,
120831F,M,115,100,,0,
120831F,M,120,100,,0,
120831F,M,130,100,,0,
120860,M,050,100,,0,
120860,M,055,100,,0,
120860,M,060,100,,0,
120860,M,065,100,,0,
120860,M,070,100,,0,
120860,M,075,100,,0,
120860,M,080,100,,0,
120860,M,085,100,,0,
120860,M,090,100,,0,
120860,M,095,100,,0,
120860,M,100,100,,0,
120860,M,105,100,,0,
120860,M,110,100,,0,
120860,M,115,100,,0,
120860,M,120,100,,0,
120860,M,130,100,,0,
120861,M,050,100,,0,
120861,M,055,100,,0,
120861,M,060,100,,0,
120861,M,065,100,,0,
120861,M,070,100,,0,
120861,M,075,100,,0,
120861,M,080,100,,0,
120861,M,085,100,,0,
120861,M,090,100,,0,
120861,M,095,100,,0,
120861,M,100,100,,0,
120861,M,105,100,,0,
120861,M,110,100,,0,
120861,M,115,100,,0,
120861,M,120,100,,0,
120861,M,130,100,,0,
120924F,M,030,100,,0,
120924F,M,035,100,,0,
120924F,M,040,100,,0,
120924F,M,045,100,,0,
120924F,M,050,100,,0,
120924F,M,055,100,,0,
120924F,M,060,100,,0,
120924F,M,065,100,,0,
120924F,M,070,100,,0,
120924F,M,075,100,,0,
120924F,M,080,100,,0,
120924F,M,085,100,,0,
120924F,M,090,100,,0,
120924F,M,095,100,,0,
120924F,M,100,100,,0,
120924F,M,105,100,,0,
120924F,M,110,100,,0,
120924F,M,115,100,,0,
120924F,M,120,100,,0,
120924F,M,130,100,,0,
120925F,M,030,100,,0,
120925F,M,035,100,,0,
120925F,M,040,100,,0,
120925F,M,045,100,,0,
120925F,M,050,100,,0,
120925F,M,055,100,,0,
120925F,M,060,100,,0,
120925F,M,065,100,,0,
120925F,M,070,100,,0,
120925F,M,075,100,,0,
120925F,M,080,100,,0,
120925F,M,085,100,,0,
120925F,M,090,100,,0,
120925F,M,095,100,,0,
120925F,M,100,100,,0,
120925F,M,105,100,,0,
120925F,M,110,100,,0,
120925F,M,115,100,,0,
120925F,M,120,100,,0,
120925F,M,130,100,,0,
120926F,M,030,100,,0,
120926F,M,035,100,,0,
120926F,M,040,100,,0,
120926F,M,045,100,,0,
120926F,M,050,100,,0,
120926F,M,055,100,,0,
120926F,M,060,100,,0,
120926F,M,065,100,,0,
120926F,M,070,100,,0,
120926F,M,075,100,,0,
120926F,M,080,100,,0,
120926F,M,085,100,,0,
120926F,M,090,100,,0,
120926F,M,095,100,,0,
120926F,M,100,100,,0,
120926F,M,105,100,,0,
120926F,M,110,100,,0,
120926F,M,115,100,,0,
120926F,M,120,100,,0,
120926F,M,130,100,,0,
120929F,M,030,100,,0,
120929F,M,035,100,,0,
120929F,M,040,100,,0,
120929F,M,045,100,,0,
120929F,M,050,100,,0,
120929F,M,055,100,,0,
120929F,M,060,100,,0,
120929F,M,065,100,,0,
120929F,M,070,100,,0,
120929F,M,075,100,,0,
120929F,M,080,100,,0,
120929F,M,085,100,,0,
120929F,M,090,100,,0,
120929F,M,095,100,,0,
120929F,M,100,100,,0,
120929F,M,105,100,,0,
120929F,M,110,100,,0,
120929F,M,115,100,,0,
120929F,M,120,100,,0,
120929F,M,130,100,,0,
120930F,M,030,100,,0,
120930F,M,035,100,,0,
120930F,M,040,100,,0,
120930F,M,045,100,,0,
120930F,M,050,100,,0,
120930F,M,055,100,,0,
120930F,M,060,100,,0,
120930F,M,065,100,,0,
120930F,M,070,100,,0,
120930F,M,075,100,,0,
120930F,M,080,100,,0,
120930F,M,085,100,,0,
120930F,M,090,100,,0,
120930F,M,095,100,,0,
120930F,M,100,100,,0,
120930F,M,105,100,,0,
120930F,M,110,100,,0,
120930F,M,115,100,,0,
120930F,M,120,100,,0,
120930F,M,130,100,,0,
120935F,M,040,100,,0,
120935F,M,045,100,,0,
120935F,M,050,100,,0,
120935F,M,055,100,,0,
120935F,M,060,100,,0,
120935F,M,065,100,,0,
120935F,M,070,100,,0,
120935F,M,075,100,,0,
120935F,M,080,100,,0,
120935F,M,085,100,,0,
120935F,M,090,100,,0,
120935F,M,095,100,,0,
120935F,M,100,100,,0,
120935F,M,105,100,,0,
120935F,M,110,100,,0,
120935F,M,115,100,,0,
120935F,M,120,100,,0,
120935F,M,130,100,,0,
121005F,M,050,100,,0,
121005F,M,055,100,,0,
121005F,M,060,100,,0,
121005F,M,065,100,,0,
121005F,M,070,100,,0,
121005F,M,075,100,,0,
121005F,M,080,100,,0,
121005F,M,085,100,,0,
121005F,M,090,100,,0,
121005F,M,095,100,,0,
121005F,M,100,100,,0,
121005F,M,105,100,,0,
121005F,M,110,100,,0,
121005F,M,115,100,,0,
121005F,M,120,100,,0,
121005F,M,130,100,,0,
121066,M,065,100,,0,
121066,M,070,100,,0,
121066,M,075,100,,0,
121066,M,080,100,,0,
121066,M,085,100,,0,
121066,M,090,100,,0,
121066,M,095,100,,0,
121066,M,100,100,,0,
121066,M,105,100,,0,
121066,M,110,100,,0,
121066,M,115,100,,0,
121066,M,120,100,,0,
121066,M,130,100,,0,
121067,M,065,100,,0,
121067,M,070,100,,0,
121067,M,075,100,,0,
121067,M,080,100,,0,
121067,M,085,100,,0,
121067,M,090,100,,0,
121067,M,095,100,,0,
121067,M,100,100,,0,
121067,M,105,100,,0,
121067,M,110,100,,0,
121067,M,115,100,,0,
121067,M,120,100,,0,
121067,M,130,100,,0,
121068,M,065,100,,0,
121068,M,070,100,,0,
121068,M,075,100,,0,
121068,M,080,100,,0,
121068,M,085,100,,0,
121068,M,090,100,,0,
121068,M,095,100,,0,
121068,M,100,100,,0,
121068,M,105,100,,0,
121068,M,110,100,,0,
121068,M,115,100,,0,
121068,M,120,100,,0,
121068,M,130,100,,0,
121069,M,065,100,,0,
121069,M,070,100,,0,
121069,M,075,100,,0,
121069,M,080,100,,0,
121069,M,085,100,,0,
121069,M,090,100,,0,
121069,M,095,100,,0,
121069,M,100,100,,0,
121069,M,105,100,,0,
121069,M,110,100,,0,
121069,M,115,100,,0,
121069,M,120,100,,0,
121069,M,130,100,,0,
121094,M,030,100,,0,
121094,M,035,100,,0,
121094,M,040,100,,0,
121094,M,045,100,,0,
121094,M,050,100,,0,
121094,M,055,100,,0,
121094,M,060,100,,0,
121094,M,065,100,,0,
121094,M,070,100,,0,
121094,M,075,100,,0,
121094,M,080,100,,0,
121094,M,085,100,,0,
121094,M,090,100,,0,
121094,M,095,100,,0,
121094,M,100,100,,0,
121094,M,105,100,,0,
121094,M,110,100,,0,
121094,M,115,100,,0,
121094,M,120,100,,0,
121094,M,130,100,,0,
121095,M,030,100,,0,
121095,M,035,100,,0,
121095,M,040,100,,0,
121095,M,045,100,,0,
121095,M,050,100,,0,
121095,M,055,100,,0,
121095,M,060,100,,0,
121095,M,065,100,,0,
121095,M,070,100,,0,
121095,M,075,100,,0,
121095,M,080,100,,0,
121095,M,085,100,,0,
121095,M,090,100,,0,
121095,M,095,100,,0,
121095,M,100,100,,0,
121095,M,105,100,,0,
121095,M,110,100,,0,
121095,M,115,100,,0,
121095,M,120,100,,0,
121095,M,130,100,,0,
121096,M,065,100,,0,
121096,M,070,100,,0,
121096,M,075,100,,0,
121096,M,080,100,,0,
121096,M,085,100,,0,
121096,M,090,100,,0,
121096,M,095,100,,0,
121096,M,100,100,,0,
121096,M,105,100,,0,
121096,M,110,100,,0,
121096,M,115,100,,0,
121096,M,120,100,,0,
121096,M,130,100,,0,
121098,M,040,100,,0,
121098,M,045,100,,0,
121098,M,050,100,,0,
121098,M,055,100,,0,
121098,M,060,100,,0,
121098,M,065,100,,0,
121098,M,070,100,,0,
121098,M,075,100,,0,
121098,M,080,100,,0,
121098,M,085,100,,0,
121098,M,090,100,,0,
121098,M,095,100,,0,
121098,M,100,100,,0,
121098,M,105,100,,0,
121098,M,110,100,,0,
121098,M,115,100,,0,
121098,M,120,100,,0,
121098,M,130,100,,0,
121117,M,040,100,,0,
121117,M,045,100,,0,
121117,M,050,100,,0,
121117,M,055,100,,0,
121117,M,060,100,,0,
121117,M,065,100,,0,
121117,M,070,100,,0,
121117,M,075,100,,0,
121117,M,080,100,,0,
121117,M,085,100,,0,
121117,M,090,100,,0,
121117,M,095,100,,0,
121117,M,100,100,,0,
121117,M,105,100,,0,
121117,M,110,100,,0,
121117,M,115,100,,0,
121117,M,120,100,,0,
121117,M,130,100,,0,
121118,M,065,100,,0,
121118,M,070,100,,0,
121118,M,075,100,,0,
121118,M,080,100,,0,
121118,M,085,100,,0,
121118,M,090,100,,0,
121118,M,095,100,,0,
121118,M,100,100,,0,
121118,M,105,100,,0,
121118,M,110,100,,0,
121118,M,115,100,,0,
121118,M,120,100,,0,
121118,M,130,100,,0,
121120,M,065,100,,0,
121120,M,070,100,,0,
121120,M,075,100,,0,
121120,M,080,100,,0,
121120,M,085,100,,0,
121120,M,090,100,,0,
121120,M,095,100,,0,
121120,M,100,100,,0,
121120,M,105,100,,0,
121120,M,110,100,,0,
121120,M,115,100,,0,
121120,M,120,100,,0,
121120,M,130,100,,0,
121204,M,065,100,,0,
121204,M,070,100,,0,
121204,M,075,100,,0,
121204,M,080,100,,0,
121204,M,085,100,,0,
121204,M,090,100,,0,
121204,M,095,100,,0,
121204,M,100,100,,0,
121204,M,105,100,,0,
121204,M,110,100,,0,
121204,M,115,100,,0,
121204,M,120,100,,0,
121204,M,130,100,,0,
121221,M,040,100,,0,
121221,M,045,100,,0,
121221,M,050,100,,0,
121221,M,055,100,,0,
121221,M,060,100,,0,
121221,M,065,100,,0,
121221,M,070,100,,0,
121221,M,075,100,,0,
121221,M,080,100,,0,
121221,M,085,100,,0,
121221,M,090,100,,0,
121221,M,095,100,,0,
121221,M,100,100,,0,
121221,M,105,100,,0,
121221,M,110,100,,0,
121221,M,115,100,,0,
121221,M,120,100,,0,
121221,M,130,100,,0,
121230,M,060,100,,0,
121230,M,065,100,,0,
121230,M,070,100,,0,
121230,M,075,100,,0,
121230,M,080,100,,0,
121230,M,085,100,,0,
121230,M,090,100,,0,
121230,M,095,100,,0,
121230,M,100,100,,0,
121230,M,105,100,,0,
121230,M,110,100,,0,
121230,M,115,100,,0,
121230,M,120,100,,0,
121230,M,130,100,,0,
121433,M,070,100,,0,
121433,M,080,100,,0,
121433,M,090,100,,0,
121433,M,100,100,,0,
121433,M,110,100,,0,
121433,M,120,100,,0,
121433,M,130,100,,0,
121433,M,140,100,,0,
121433,M,150,100,,0,
121437,M,070,100,,0,
121437,M,080,100,,0,
121437,M,090,100,,0,
121437,M,100,100,,0,
121437,M,110,100,,0,
121437,M,120,100,,0,
121437,M,130,100,,0,
121437,M,140,100,,0,
121437,M,150,100,,0,
121438,M,070,100,,0,
121438,M,080,100,,0,
121438,M,090,100,,0,
121438,M,100,100,,0,
121438,M,110,100,,0,
121438,M,120,100,,0,
121438,M,130,100,,0,
121438,M,140,100,,0,
121438,M,150,100,,0,
121439,M,070,100,,0,
121439,M,080,100,,0,
121439,M,090,100,,0,
121439,M,100,100,,0,
121439,M,110,100,,0,
121439,M,120,100,,0,
121439,M,130,100,,0,
121439,M,140,100,,0,
121439,M,150,100,,0,
121512,M,065,100,,0,
121512,M,070,100,,0,
121512,M,075,100,,0,
121512,M,080,100,,0,
121512,M,085,100,,0,
121512,M,090,100,,0,
121512,M,095,100,,0,
121512,M,100,100,,0,
121512,M,105,100,,0,
121512,M,110,100,,0,
121512,M,115,100,,0,
121512,M,120,100,,0,
121512,M,130,100,,0,
121512,M,140,100,,0,
121512,M,150,100,,0,
121513,M,065,100,,0,
121513,M,070,100,,0,
121513,M,075,100,,0,
121513,M,080,100,,0,
121513,M,085,100,,0,
121513,M,090,100,,0,
121513,M,095,100,,0,
121513,M,100,100,,0,
121513,M,105,100,,0,
121513,M,110,100,,0,
121513,M,115,100,,0,
121513,M,120,100,,0,
121513,M,130,100,,0,
121513,M,140,100,,0,
121513,M,150,100,,0,
121514,M,065,100,,0,
121514,M,070,100,,0,
121514,M,075,100,,0,
121514,M,080,100,,0,
121514,M,085,100,,0,
121514,M,090,100,,0,
121514,M,095,100,,0,
121514,M,100,100,,0,
121514,M,105,100,,0,
121514,M,110,100,,0,
121514,M,115,100,,0,
121514,M,120,100,,0,
121514,M,130,100,,0,
121514,M,140,100,,0,
121514,M,150,100,,0,
121519,M,070,100,,0,
121519,M,075,100,,0,
121519,M,080,100,,0,
121519,M,085,100,,0,
121519,M,090,100,,0,
121519,M,095,100,,0,
121519,M,100,100,,0,
121519,M,105,100,,0,
121519,M,110,100,,0,
121519,M,115,100,,0,
121519,M,120,100,,0,
121519,M,130,100,,0,
121519,M,140,100,,0,
121519,M,150,100,,0,
121529,M,070,100,,0,
121529,M,075,100,,0,
121529,M,080,100,,0,
121529,M,085,100,,0,
121529,M,090,100,,0,
121529,M,095,100,,0,
121529,M,100,100,,0,
121529,M,105,100,,0,
121529,M,110,100,,0,
121529,M,115,100,,0,
121529,M,120,100,,0,
121529,M,130,100,,0,
121529,M,140,100,,0,
121529,M,150,100,,0,
121532,M,075,100,,0,
121532,M,080,100,,0,
121532,M,085,100,,0,
121532,M,090,100,,0,
121532,M,095,100,,0,
121532,M,100,100,,0,
121532,M,105,100,,0,
121532,M,110,100,,0,
121532,M,115,100,,0,
121532,M,120,100,,0,
121532,M,130,100,,0,
121532,M,140,100,,0,
121532,M,150,100,,0,
121533,M,075,100,,0,
121533,M,080,100,,0,
121533,M,085,100,,0,
121533,M,090,100,,0,
121533,M,095,100,,0,
121533,M,100,100,,0,
121533,M,105,100,,0,
121533,M,110,100,,0,
121533,M,115,100,,0,
121533,M,120,100,,0,
121533,M,130,100,,0,
121533,M,140,100,,0,
121533,M,150,100,,0,
121534,M,070,100,,0,
121534,M,075,100,,0,
121534,M,080,100,,0,
121534,M,085,100,,0,
121534,M,090,100,,0,
121534,M,095,100,,0,
121534,M,100,100,,0,
121534,M,105,100,,0,
121534,M,110,100,,0,
121534,M,115,100,,0,
121534,M,120,100,,0,
121534,M,130,100,,0,
121534,M,140,100,,0,
121534,M,150,100,,0,
121535,M,070,100,,0,
121535,M,075,100,,0,
121535,M,080,100,,0,
121535,M,085,100,,0,
121535,M,090,100,,0,
121535,M,095,100,,0,
121535,M,100,100,,0,
121535,M,105,100,,0,
121535,M,110,100,,0,
121535,M,115,100,,0,
121535,M,120,100,,0,
121535,M,130,100,,0,
121535,M,140,100,,0,
121535,M,150,100,,0,
121536,M,070,100,,0,
121536,M,075,100,,0,
121536,M,080,100,,0,
121536,M,085,100,,0,
121536,M,090,100,,0,
121536,M,095,100,,0,
121536,M,100,100,,0,
121536,M,105,100,,0,
121536,M,110,100,,0,
121536,M,115,100,,0,
121536,M,120,100,,0,
121536,M,130,100,,0,
121536,M,140,100,,0,
121536,M,150,100,,0,
121537,M,070,100,,0,
121537,M,075,100,,0,
121537,M,080,100,,0,
121537,M,085,100,,0,
121537,M,090,100,,0,
121537,M,095,100,,0,
121537,M,100,100,,0,
121537,M,105,100,,0,
121537,M,110,100,,0,
121537,M,115,100,,0,
121537,M,120,100,,0,
121537,M,130,100,,0,
121537,M,140,100,,0,
121537,M,150,100,,0,
121538,M,070,100,,0,
121538,M,075,100,,0,
121538,M,080,100,,0,
121538,M,085,100,,0,
121538,M,090,100,,0,
121538,M,095,100,,0,
121538,M,100,100,,0,
121538,M,105,100,,0,
121538,M,110,100,,0,
121538,M,115,100,,0,
121538,M,120,100,,0,
121538,M,130,100,,0,
121538,M,140,100,,0,
121538,M,150,100,,0,
121539,M,075,100,,0,
121539,M,080,100,,0,
121539,M,085,100,,0,
121539,M,090,100,,0,
121539,M,095,100,,0,
121539,M,100,100,,0,
121539,M,105,100,,0,
121539,M,110,100,,0,
121539,M,115,100,,0,
121539,M,120,100,,0,
121539,M,130,100,,0,
121539,M,140,100,,0,
121539,M,150,100,,0,
121540,M,075,100,,0,
121540,M,080,100,,0,
121540,M,085,100,,0,
121540,M,090,100,,0,
121540,M,095,100,,0,
121540,M,100,100,,0,
121540,M,105,100,,0,
121540,M,110,100,,0,
121540,M,115,100,,0,
121540,M,120,100,,0,
121540,M,130,100,,0,
121540,M,140,100,,0,
121540,M,150,100,,0,
121543,M,075,100,,0,
121543,M,080,100,,0,
121543,M,085,100,,0,
121543,M,090,100,,0,
121543,M,095,100,,0,
121543,M,100,100,,0,
121543,M,105,100,,0,
121543,M,110,100,,0,
121543,M,115,100,,0,
121543,M,120,100,,0,
121543,M,130,100,,0,
121543,M,140,100,,0,
121543,M,150,100,,0,
121544,M,075,100,,0,
121544,M,080,100,,0,
121544,M,085,100,,0,
121544,M,090,100,,0,
121544,M,095,100,,0,
121544,M,100,100,,0,
121544,M,105,100,,0,
121544,M,110,100,,0,
121544,M,115,100,,0,
121544,M,120,100,,0,
121544,M,130,100,,0,
121544,M,140,100,,0,
121544,M,150,100,,0,
121545,M,075,100,,0,
121545,M,080,100,,0,
121545,M,085,100,,0,
121545,M,090,100,,0,
121545,M,095,100,,0,
121545,M,100,100,,0,
121545,M,105,100,,0,
121545,M,110,100,,0,
121545,M,115,100,,0,
121545,M,120,100,,0,
121545,M,130,100,,0,
121545,M,140,100,,0,
121545,M,150,100,,0,
121546,M,075,100,,0,
121546,M,080,100,,0,
121546,M,085,100,,0,
121546,M,090,100,,0,
121546,M,095,100,,0,
121546,M,100,100,,0,
121546,M,105,100,,0,
121546,M,110,100,,0,
121546,M,115,100,,0,
121546,M,120,100,,0,
121546,M,130,100,,0,
121546,M,140,100,,0,
121546,M,150,100,,0,
121549,M,030,100,,0,
121549,M,035,100,,0,
121549,M,040,100,,0,
121549,M,045,100,,0,
121549,M,050,100,,0,
121549,M,055,100,,0,
121549,M,060,100,,0,
121549,M,065,100,,0,
121549,M,070,100,,0,
121549,M,075,100,,0,
121549,M,080,100,,0,
121549,M,085,100,,0,
121549,M,090,100,,0,
121549,M,095,100,,0,
121549,M,100,100,,0,
121549,M,105,100,,0,
121549,M,110,100,,0,
121549,M,115,100,,0,
121549,M,120,100,,0,
121549,M,130,100,,0,
121552,M,030,100,,0,
121552,M,035,100,,0,
121552,M,040,100,,0,
121552,M,045,100,,0,
121552,M,050,100,,0,
121552,M,055,100,,0,
121552,M,060,100,,0,
121552,M,065,100,,0,
121552,M,070,100,,0,
121552,M,075,100,,0,
121552,M,080,100,,0,
121552,M,085,100,,0,
121552,M,090,100,,0,
121552,M,095,100,,0,
121552,M,100,100,,0,
121552,M,105,100,,0,
121552,M,110,100,,0,
121552,M,115,100,,0,
121552,M,120,100,,0,
121552,M,130,100,,0,
121554,M,030,100,,0,
121554,M,035,100,,0,
121554,M,040,100,,0,
121554,M,045,100,,0,
121554,M,050,100,,0,
121554,M,055,100,,0,
121554,M,060,100,,0,
121554,M,065,100,,0,
121554,M,070,100,,0,
121554,M,075,100,,0,
121554,M,080,100,,0,
121554,M,085,100,,0,
121554,M,090,100,,0,
121554,M,095,100,,0,
121554,M,100,100,,0,
121554,M,105,100,,0,
121554,M,110,100,,0,
121554,M,115,100,,0,
121554,M,120,100,,0,
121554,M,130,100,,0,
121558,M,030,100,,0,
121558,M,035,100,,0,
121558,M,040,100,,0,
121558,M,045,100,,0,
121558,M,050,100,,0,
121558,M,055,100,,0,
121558,M,060,100,,0,
121558,M,065,100,,0,
121558,M,070,100,,0,
121558,M,075,100,,0,
121558,M,080,100,,0,
121558,M,085,100,,0,
121558,M,090,100,,0,
121558,M,095,100,,0,
121558,M,100,100,,0,
121558,M,105,100,,0,
121558,M,110,100,,0,
121558,M,115,100,,0,
121558,M,120,100,,0,
121558,M,130,100,,0,
121559,M,030,100,,0,
121559,M,035,100,,0,
121559,M,040,100,,0,
121559,M,045,100,,0,
121559,M,050,100,,0,
121559,M,055,100,,0,
121559,M,060,100,,0,
121559,M,065,100,,0,
121559,M,070,100,,0,
121559,M,075,100,,0,
121559,M,080,100,,0,
121559,M,085,100,,0,
121559,M,090,100,,0,
121559,M,095,100,,0,
121559,M,100,100,,0,
121559,M,105,100,,0,
121559,M,110,100,,0,
121559,M,115,100,,0,
121559,M,120,100,,0,
121559,M,130,100,,0,
121566,M,030,100,,0,
121566,M,035,100,,0,
121566,M,040,100,,0,
121566,M,045,100,,0,
121566,M,050,100,,0,
121566,M,055,100,,0,
121566,M,060,100,,0,
121566,M,065,100,,0,
121566,M,070,100,,0,
121566,M,075,100,,0,
121566,M,080,100,,0,
121566,M,085,100,,0,
121566,M,090,100,,0,
121566,M,095,100,,0,
121566,M,100,100,,0,
121567,M,030,100,,0,
121567,M,035,100,,0,
121567,M,040,100,,0,
121567,M,045,100,,0,
121567,M,050,100,,0,
121567,M,055,100,,0,
121567,M,060,100,,0,
121567,M,065,100,,0,
121567,M,070,100,,0,
121567,M,075,100,,0,
121567,M,080,100,,0,
121567,M,085,100,,0,
121567,M,090,100,,0,
121567,M,095,100,,0,
121567,M,100,100,,0,
121568,M,030,100,,0,
121568,M,035,100,,0,
121568,M,040,100,,0,
121568,M,045,100,,0,
121568,M,050,100,,0,
121568,M,055,100,,0,
121568,M,060,100,,0,
121568,M,065,100,,0,
121568,M,070,100,,0,
121568,M,075,100,,0,
121568,M,080,100,,0,
121568,M,085,100,,0,
121568,M,090,100,,0,
121568,M,095,100,,0,
121568,M,100,100,,0,
121572,M,040,100,,0,
121572,M,045,100,,0,
121572,M,050,100,,0,
121572,M,055,100,,0,
121572,M,060,100,,0,
121572,M,065,100,,0,
121572,M,070,100,,0,
121572,M,075,100,,0,
121572,M,080,100,,0,
121572,M,085,100,,0,
121572,M,090,100,,0,
121572,M,095,100,,0,
121572,M,100,100,,0,
121572,M,105,100,,0,
121572,M,110,100,,0,
121572,M,115,100,,0,
121572,M,120,100,,0,
121572,M,130,100,,0,
121573,M,030,100,,0,
121573,M,035,100,,0,
121573,M,040,100,,0,
121573,M,045,100,,0,
121573,M,050,100,,0,
121573,M,055,100,,0,
121573,M,060,100,,0,
121573,M,065,100,,0,
121573,M,070,100,,0,
121573,M,075,100,,0,
121573,M,080,100,,0,
121573,M,085,100,,0,
121573,M,090,100,,0,
121573,M,095,100,,0,
121573,M,100,100,,0,
121573,M,105,100,,0,
121573,M,110,100,,0,
121573,M,115,100,,0,
121573,M,120,100,,0,
121573,M,130,100,,0,
121627,M,030,100,,0,
121627,M,035,100,,0,
121627,M,040,100,,0,
121627,M,045,100,,0,
121627,M,050,100,,0,
121627,M,055,100,,0,
121627,M,060,100,,0,
121627,M,065,100,,0,
121627,M,070,100,,0,
121627,M,075,100,,0,
121627,M,080,100,,0,
121627,M,085,100,,0,
121627,M,090,100,,0,
121627,M,095,100,,0,
121627,M,100,100,,0,
121627,M,105,100,,0,
121627,M,110,100,,0,
121627,M,115,100,,0,
121627,M,120,100,,0,
121627,M,130,100,,0,
121629,M,030,100,,0,
121629,M,035,100,,0,
121629,M,040,100,,0,
121629,M,045,100,,0,
121629,M,050,100,,0,
121629,M,055,100,,0,
121629,M,060,100,,0,
121629,M,065,100,,0,
121629,M,070,100,,0,
121629,M,075,100,,0,
121629,M,080,100,,0,
121629,M,085,100,,0,
121629,M,090,100,,0,
121629,M,095,100,,0,
121629,M,100,100,,0,
121629,M,105,100,,0,
121629,M,110,100,,0,
121629,M,115,100,,0,
121629,M,120,100,,0,
121629,M,130,100,,0,
121640,M,030,100,,0,
121640,M,035,100,,0,
121640,M,040,100,,0,
121640,M,045,100,,0,
121640,M,050,100,,0,
121640,M,055,100,,0,
121640,M,060,100,,0,
121640,M,065,100,,0,
121640,M,070,100,,0,
121640,M,075,100,,0,
121640,M,080,100,,0,
121640,M,085,100,,0,
121640,M,090,100,,0,
121640,M,095,100,,0,
121640,M,100,100,,0,
121640,M,105,100,,0,
121640,M,110,100,,0,
121640,M,115,100,,0,
121640,M,120,100,,0,
121640,M,130,100,,0,
121641,M,030,100,,0,
121641,M,035,100,,0,
121641,M,040,100,,0,
121641,M,045,100,,0,
121641,M,050,100,,0,
121641,M,055,100,,0,
121641,M,060,100,,0,
121641,M,065,100,,0,
121641,M,070,100,,0,
121641,M,075,100,,0,
121641,M,080,100,,0,
121641,M,085,100,,0,
121641,M,090,100,,0,
121641,M,095,100,,0,
121641,M,100,100,,0,
121641,M,105,100,,0,
121641,M,110,100,,0,
121641,M,115,100,,0,
121641,M,120,100,,0,
121641,M,130,100,,0,
121681,M,065,100,,0,
121681,M,070,100,,0,
121681,M,075,100,,0,
121681,M,080,100,,0,
121681,M,085,100,,0,
121681,M,090,100,,0,
121681,M,095,100,,0,
121681,M,100,100,,0,
121681,M,105,100,,0,
121681,M,110,100,,0,
121681,M,115,100,,0,
121681,M,120,100,,0,
121681,M,130,100,,0,
121682,M,065,100,,0,
121682,M,070,100,,0,
121682,M,075,100,,0,
121682,M,080,100,,0,
121682,M,085,100,,0,
121682,M,090,100,,0,
121682,M,095,100,,0,
121682,M,100,100,,0,
121682,M,105,100,,0,
121682,M,110,100,,0,
121682,M,115,100,,0,
121682,M,120,100,,0,
121682,M,130,100,,0,
121684,M,065,100,,0,
121684,M,070,100,,0,
121684,M,075,100,,0,
121684,M,080,100,,0,
121684,M,085,100,,0,
121684,M,090,100,,0,
121684,M,095,100,,0,
121684,M,100,100,,0,
121684,M,105,100,,0,
121684,M,110,100,,0,
121684,M,115,100,,0,
121684,M,120,100,,0,
121684,M,130,100,,0,
121687,M,065,100,,0,
121687,M,070,100,,0,
121687,M,075,100,,0,
121687,M,080,100,,0,
121687,M,085,100,,0,
121687,M,090,100,,0,
121687,M,095,100,,0,
121687,M,100,100,,0,
121687,M,105,100,,0,
121687,M,110,100,,0,
121687,M,115,100,,0,
121687,M,120,100,,0,
121687,M,130,100,,0,
121689,M,065,100,,0,
121689,M,070,100,,0,
121689,M,075,100,,0,
121689,M,080,100,,0,
121689,M,085,100,,0,
121689,M,090,100,,0,
121689,M,095,100,,0,
121689,M,100,100,,0,
121689,M,105,100,,0,
121689,M,110,100,,0,
121689,M,115,100,,0,
121689,M,120,100,,0,
121689,M,130,100,,0,
121696,M,065,100,,0,
121696,M,070,100,,0,
121696,M,075,100,,0,
121696,M,080,100,,0,
121696,M,085,100,,0,
121696,M,090,100,,0,
121696,M,095,100,,0,
121696,M,100,100,,0,
121696,M,105,100,,0,
121696,M,110,100,,0,
121696,M,115,100,,0,
121696,M,120,100,,0,
121696,M,130,100,,0,
121699,M,065,100,,0,
121699,M,070,100,,0,
121699,M,075,100,,0,
121699,M,080,100,,0,
121699,M,085,100,,0,
121699,M,090,100,,0,
121699,M,095,100,,0,
121699,M,100,100,,0,
121699,M,105,100,,0,
121699,M,110,100,,0,
121699,M,115,100,,0,
121699,M,120,100,,0,
121699,M,130,100,,0,
121701,M,065,100,,0,
121701,M,070,100,,0,
121701,M,075,100,,0,
121701,M,080,100,,0,
121701,M,085,100,,0,
121701,M,090,100,,0,
121701,M,095,100,,0,
121701,M,100,100,,0,
121701,M,105,100,,0,
121701,M,110,100,,0,
121701,M,115,100,,0,
121701,M,120,100,,0,
121701,M,130,100,,0,
121704,M,065,100,,0,
121704,M,070,100,,0,
121704,M,075,100,,0,
121704,M,080,100,,0,
121704,M,085,100,,0,
121704,M,090,100,,0,
121704,M,095,100,,0,
